SNORKELING,Experience our underwater wilderness,Dolphin Coast,2,"Food, Drinks and Equipment",Offered in English,Michelle,"I founded Tidal Tao several years ago with the sole purpose of getting people into the water. Snorkeling is so easy and accessible (compared to scuba diving) and no better way to get people passionate about marine conservation than getting them to experience our marine life first hand. I grew up surfing along our coastline, a qualified nature guide and snorkel instructor with over 5 years…+ More",$24 per person,Any experience can be canceled and fully refunded within 24 hours of purchase.,5,6,4.8,25 reviews,"https://maps.google.com/maps?ll=-29.514142,31.23145&z=15&t=m&hl=en&gl=US&mapclient=apiv3",https://www.airbnb.com/experiences/452399?currentTab=experience_tab&federatedSearchId=182e143f-6970-4a9c-8731-2e4d388334fe&searchId=bd724406-0cb4-47b2-8d13-f53b2313a4e2&sectionId=d7213cb4-8d8d-4d78-b559-30ff2a404489&source=p2
GUIDED HIKE,Discover Ayrshire Off the Beaten Track,Ayr,3,Equipment and Transportation,Offered in English,Kes,"Hi ! My name is Kes and I am a very outdoorsy person, love to travel, hike, and discover the hidden treasures that nature has to offer. I have been hiking around Ayrshire for many years and enjoy sharing my findings based on deep research for 30 years into Earth Grid works, Vortexes, Sacred Sites, Leylines, Earth Energies, Feng Shui and other related Geomancy topics.",$72 per person,Any experience can be canceled and fully refunded within 24 hours of purchase.,18,4,,,"https://maps.google.com/maps?ll=55.459323,-4.6262&z=15&t=m&hl=en&gl=US&mapclient=apiv3",https://www.airbnb.com/experiences/683004?currentTab=experience_tab&federatedSearchId=182e143f-6970-4a9c-8731-2e4d388334fe&searchId=bd724406-0cb4-47b2-8d13-f53b2313a4e2&sectionId=d7213cb4-8d8d-4d78-b559-30ff2a404489&source=p2
GUIDED HIKE,Trekking at Cachoeira das Andorinhas,Ouro Preto,6,Drinks,Offered in English and Portuguese,Júlia,"I'm a Tourism student at the Univerisdade Federal de Ouro Preto. I live in this town for almost two years. 
Since I arrived, I fell in love with the Paque Natural Municipal Cachoeira das Andorinhas, there becoming my favorite place in the city. I love walk in the trails, take a bath in the waterfalls e look at the privileged views of the park. 
I'll be free and available to take other people to…+ More",$13 per person,Any experience can be canceled and fully refunded within 24 hours of purchase.,12,10,4.86,21 reviews,"https://maps.google.com/maps?ll=-20.384029,-43.503027&z=15&t=m&hl=en&gl=US&mapclient=apiv3",https://www.airbnb.com/experiences/327745?currentTab=experience_tab&federatedSearchId=182e143f-6970-4a9c-8731-2e4d388334fe&searchId=bd724406-0cb4-47b2-8d13-f53b2313a4e2&sectionId=d7213cb4-8d8d-4d78-b559-30ff2a404489&source=p2
NATURE WALK,Rainforest and Wildlife Night Tour,Cairns City,8,"Food, Equipment and Transportation",Offered in English,Paul,"I have lived in Cairns for 20 years, and spent the majority of that time either in the Rainforest, or on the GBR showing off the amazing wildlife here. I have been leading tours in and around our Tropical Rainforest for 5 years now specialising in Nocturnal animals. Some of the rarest animals in Australia only come out at night so you can only see them after dark, and with my knowledge and…+ More",$144 per person,Any experience can be canceled and fully refunded within 24 hours of purchase.,4,10,4.89,76 reviews,"https://maps.google.com/maps?ll=-16.919302,145.779153&z=15&t=m&hl=en&gl=US&mapclient=apiv3",https://www.airbnb.com/experiences/283499?currentTab=experience_tab&federatedSearchId=182e143f-6970-4a9c-8731-2e4d388334fe&searchId=bd724406-0cb4-47b2-8d13-f53b2313a4e2&sectionId=d7213cb4-8d8d-4d78-b559-30ff2a404489&source=p2
BIKE RIDE,Meteora Sunset Tour on e-bikes,Kalabaka,3,"Food, Drinks and Equipment",Offered in English,Vasilis,"I was born and raised in Kalambaka,under the famous cliffs of Meteora.I speak greek and english.I was a bike shop for 12 years and now i run the ''meteoraebike'' tourist office.Certified with the 3rd and highest level of mountain bike guide and instructor from MIAS(international assosiation),with more than 20 years of experience on bike riding racing and guiding and a professional bike mechanic…+ More",$41 per person,Any experience can be canceled and fully refunded within 24 hours of purchase.,12,9,5.0,2 reviews,"https://maps.google.com/maps?ll=39.707083,21.623124&z=15&t=m&hl=en&gl=US&mapclient=apiv3",https://www.airbnb.com/experiences/895431?currentTab=experience_tab&federatedSearchId=182e143f-6970-4a9c-8731-2e4d388334fe&searchId=bd724406-0cb4-47b2-8d13-f53b2313a4e2&sectionId=d7213cb4-8d8d-4d78-b559-30ff2a404489&source=p2
DAY TRIP,PHI PHI Happy Day Tour,Pa Tong,10,"Food, Drinks, Equipment and Transportation",All languages welcome,Carl,My name is Carl from the Uk have lived in Phuket for 2 years now have local knowledge of the area experienced in customer service and hosting i run a hotel in Patong and a Tour Company Qbic Travel. This tour runs daily and is part of another tour i run. Sometimes you will be lucky and meet me :) other times i will not be on the tour and leave it to my co-hosts who are fantastic,$84 per person,Any experience can be canceled and fully refunded within 24 hours of purchase.,3,10,4.69,13 reviews,"https://maps.google.com/maps?ll=7.89534,98.307398&z=15&t=m&hl=en&gl=US&mapclient=apiv3",https://www.airbnb.com/experiences/129148?currentTab=experience_tab&federatedSearchId=182e143f-6970-4a9c-8731-2e4d388334fe&searchId=bd724406-0cb4-47b2-8d13-f53b2313a4e2&sectionId=d7213cb4-8d8d-4d78-b559-30ff2a404489&source=p2
SWIMMING,Swimming with horses!,Messenia,1,Equipment,Offered in English,Nikolaos,"Hello, we are glad to share our equestrian activities to every nature lover that visits Kalamata. 
We are experienced and certified horse riding trainers that would like to offer people the choice to experience something unique: swimming with horses and horse ride on the seaside! 
We were raised with horses, we love them and we want to share with you how amazing the contact with them can be! 
This…+ More",$41 per person,Any experience can be canceled and fully refunded within 24 hours of purchase.,6,10,,,"https://maps.google.com/maps?ll=37.03409,22.063808&z=15&t=m&hl=en&gl=US&mapclient=apiv3",https://www.airbnb.com/experiences/854717?currentTab=experience_tab&federatedSearchId=182e143f-6970-4a9c-8731-2e4d388334fe&searchId=bd724406-0cb4-47b2-8d13-f53b2313a4e2&sectionId=d7213cb4-8d8d-4d78-b559-30ff2a404489&source=p2
BIKE RIDE,Scenic Paddy Farm Cycling Experience,Tenom,2,"Drinks, Equipment and Transportation",Offered in Chinese (Simplified) and English,Sam,"Hi, I am the founder of Marais village community center named Maraiscenter. I have lived with the Murut community for more than a year, working hand in hand with the local to enable village livelihoods.. During this period of time, I came to experience and understand their lives and culture in a deeper way. It is my desire to make a change for the people here. In this experience, I will bring you…+ More",$18 per person,Any experience can be canceled and fully refunded within 24 hours of purchase.,18,10,5.0,2 reviews,"https://maps.google.com/maps?ll=5.122719,115.946009&z=15&t=m&hl=en&gl=US&mapclient=apiv3",https://www.airbnb.com/experiences/504936?currentTab=experience_tab&federatedSearchId=182e143f-6970-4a9c-8731-2e4d388334fe&searchId=bd724406-0cb4-47b2-8d13-f53b2313a4e2&sectionId=d7213cb4-8d8d-4d78-b559-30ff2a404489&source=p2
SCUBA DIVING,Discover Scuba diving,Dahab,2,Equipment and Transportation,Offered in English,Mohamed,we are a PADI 'Gold Palm 5 Star Dive Resort’ and CDWS centre meeting the international criteria of the European ISO dive standards. We are listed as one of the top dive centres in Dahab on the www.tripadvisor.com website. We are also recommended by lonely planet travel guide in their latest edition and have recently been awarded by PADI as one of the official ‘Top 10 PADI Dive Certifiers’ in all…+ More,$49 per person,Any experience can be canceled and fully refunded within 24 hours of purchase.,8,10,,,"https://maps.google.com/maps?ll=28.49026,34.515116&z=15&t=m&hl=en&gl=US&mapclient=apiv3",https://www.airbnb.com/experiences/912522?currentTab=experience_tab&federatedSearchId=182e143f-6970-4a9c-8731-2e4d388334fe&searchId=bd724406-0cb4-47b2-8d13-f53b2313a4e2&sectionId=d7213cb4-8d8d-4d78-b559-30ff2a404489&source=p2
GUIDED HIKE,Hiking with Dante to Tâmpa mountain,Brașov,3.5,Drinks,Offered in English,Sorin,"Hi there. My name is Sorin and I am a Cnc setter at a multi-national automitive factory! I grew up here and got the taste of the trails with my best friend Dante, a siberian white husky. I lived in Brasov my whole life and walked all the surrounded mountains.",$31 per person,Any experience can be canceled and fully refunded within 24 hours of purchase.,18,4,5.0,25 reviews,"https://maps.google.com/maps?ll=45.643229,25.597854&z=15&t=m&hl=en&gl=US&mapclient=apiv3",https://www.airbnb.com/experiences/267514?currentTab=experience_tab&federatedSearchId=182e143f-6970-4a9c-8731-2e4d388334fe&searchId=bd724406-0cb4-47b2-8d13-f53b2313a4e2&sectionId=d7213cb4-8d8d-4d78-b559-30ff2a404489&source=p2
