KAYAKING,Kayaking in Kyrgyzstan,Bishkek,13,Food and Drinks,Offered in English,Emirlan,"Encouraging people to travel and discover new destinations is the reason I share my traveling experience. Assisting in the organization of World Nomad Games 2016-2018, I grasped the knowledge in the fields of hospitality and travel logistics. Besides, I had worked in Red Crescent Kyrgyzstan and was provided with a basic First Aid course, so you don't need to worry about safety:) 
I want to present…+ More",$185 per person,Any experience can be canceled and fully refunded within 24 hours of purchase.,18,8,4.0,1 review,"https://maps.google.com/maps?ll=42.875688,74.591309&z=15&t=m&hl=en&gl=US&mapclient=apiv3",https://www.airbnb.com/experiences/781180?currentTab=experience_tab&federatedSearchId=182e143f-6970-4a9c-8731-2e4d388334fe&searchId=bd724406-0cb4-47b2-8d13-f53b2313a4e2&sectionId=d7213cb4-8d8d-4d78-b559-30ff2a404489&source=p2
BOAT RIDE,Experience Romantic Sunset from a yacht,Hvar,2,Food and Drinks,All languages welcome,David & Tibor,"3 years ago I quit my regular job in marketing industry to start living my dream. As I sail for years and usually spend half a year on the boat skippering I decided to make a switch in my life. I managed to find a proper yacht where I can share my passion. Now I spend my time on a yacht while sailing, exploring new spots and meeting new people.",$55 per person,Any experience can be canceled and fully refunded within 24 hours of purchase.,18,7,4.67,6 reviews,"https://maps.google.com/maps?ll=43.17088,16.440407&z=15&t=m&hl=en&gl=US&mapclient=apiv3",https://www.airbnb.com/experiences/926993?currentTab=experience_tab&federatedSearchId=182e143f-6970-4a9c-8731-2e4d388334fe&searchId=bd724406-0cb4-47b2-8d13-f53b2313a4e2&sectionId=d7213cb4-8d8d-4d78-b559-30ff2a404489&source=p2
BIKE RIDE,Explore Ghent by Bike,Gent,3,"Drinks, Equipment and Transportation","Offered in Dutch, English and French",Tim,"All good things come in threes: a cycling tour, a weekend trip and an exciting tour of the city. I have made the perfect mix of these three elements for you. I personally think it is a great experience to explore a city by bike in company of a local.

Taking visitors on a tour of my city seemed the most rewarding job in the world. And after a 25-year career in various companies, I got on my…+ More",$45 per person,Any experience can be canceled and fully refunded within 24 hours of purchase.,12,10,4.83,42 reviews,"https://maps.google.com/maps?ll=51.041584,3.727735&z=15&t=m&hl=en&gl=US&mapclient=apiv3",https://www.airbnb.com/experiences/564921?currentTab=experience_tab&federatedSearchId=182e143f-6970-4a9c-8731-2e4d388334fe&searchId=bd724406-0cb4-47b2-8d13-f53b2313a4e2&sectionId=d7213cb4-8d8d-4d78-b559-30ff2a404489&source=p2
KAYAKING,Kayaking in the Shell Key Preserve,Tierra Verde,3,Equipment,Offered in English,Ross,"Hi, we're Ross and Doug, owners of Coastal Kayak Charters, St Pete's top rated kayak tour company. We are a new addition to AirBNB but we have been guiding kayak tours in the Shell Key Preserve for over 5 years. We have well over 600 five star reviews on TripAdvisor and bring our passion for the local environment to every trip. As an Owner-Operated outfitter, our goal is to provide outstanding…+ More",$45 per person,Any experience can be canceled and fully refunded within 24 hours of purchase.,7,10,5.0,47 reviews,"https://maps.google.com/maps?ll=27.65907,-82.721611&z=15&t=m&hl=en&gl=US&mapclient=apiv3",https://www.airbnb.com/experiences/761372?currentTab=experience_tab&federatedSearchId=182e143f-6970-4a9c-8731-2e4d388334fe&searchId=bd724406-0cb4-47b2-8d13-f53b2313a4e2&sectionId=d7213cb4-8d8d-4d78-b559-30ff2a404489&source=p2
YOGA CLASS,Beach Yoga,Zephyr Cove,1,,Offered in English,Jenay,"Jenay, ERYT500, is the owner and director of Lake Tahoe Yoga. For over a decade she has been offering practitioners the opportunity to join in on Yoga Adventures. Her Beach Yoga practices include traditional and challenging postures, focused breath and guided awareness that encourages you to quiet your mind and enjoy the beauty of Lake Tahoe. Join her on the sand and gaze upon the serenity of…+ More",$20 per person,Any experience can be canceled and fully refunded within 24 hours of purchase.,5,10,4.71,7 reviews,"https://maps.google.com/maps?ll=38.980886,-119.953257&z=15&t=m&hl=en&gl=US&mapclient=apiv3",https://www.airbnb.com/experiences/194455?currentTab=experience_tab&federatedSearchId=182e143f-6970-4a9c-8731-2e4d388334fe&searchId=bd724406-0cb4-47b2-8d13-f53b2313a4e2&sectionId=d7213cb4-8d8d-4d78-b559-30ff2a404489&source=p2
FARM VISIT,Amalfi Lemon Tour & Meetings,Amalfi,2,"Food, Drinks and Transportation",Offered in English,Salvatore,"We have been growing lemons for six generations!!!
In our family museum we will show you the history of the lemons of Amalfi as well as the history of the activities and ancient crafts. Our company is a unique production process model, because we start from the seed of the plant to get to the final product ""Limoncello"". 
All production is based on sustainable and organic agriculture. In the farm…+ More",$29 per person,Any experience can be canceled and fully refunded within 24 hours of purchase.,18,10,4.89,229 reviews,"https://maps.google.com/maps?ll=40.63489,14.603651&z=15&t=m&hl=en&gl=US&mapclient=apiv3",https://www.airbnb.com/experiences/223087?currentTab=experience_tab&federatedSearchId=182e143f-6970-4a9c-8731-2e4d388334fe&searchId=bd724406-0cb4-47b2-8d13-f53b2313a4e2&sectionId=d7213cb4-8d8d-4d78-b559-30ff2a404489&source=p2
KAYAKING,Paddle and Play Around Island Paradise,Gananoque,9,"Food, Drinks, Equipment and Transportation",All languages welcome,Colin,"I have been a sea kayaking guide in the 1000 Islands region and Kayak Instructor for the last 10 years. I have been certified as a Paddle Canada instructor and an NLS lifeguard. Whether you are an absolute beginner or want to learn an eskimo roll, I will expertly facilitate your sea kayaking adventure in a beautiful, peaceful, scenic environment. Relax knowing I have the training and expertise to…+ More",$130 per person,Any experience can be canceled and fully refunded within 24 hours of purchase.,7,6,,,"https://maps.google.com/maps?ll=44.328529,-76.162126&z=15&t=m&hl=en&gl=US&mapclient=apiv3",https://www.airbnb.com/experiences/287245?currentTab=experience_tab&federatedSearchId=182e143f-6970-4a9c-8731-2e4d388334fe&searchId=bd724406-0cb4-47b2-8d13-f53b2313a4e2&sectionId=d7213cb4-8d8d-4d78-b559-30ff2a404489&source=p2
BIKE RIDE,Bergdoktor Tour mit Premium E-bike,Söll,5,Equipment and Transportation,All languages welcome,Romeo,"Sport und Bewegung bestimmen seitdem ich denken kann mein Leben. Im Mannschaftssport groß geworden kam ich zum Biken. Anfangs nur als Ausgleich zum harten Training, mit der Zeit nahm es Überhand. Die Natur vor der Haustür in Tirol hat mich niemals losgelassen. Mit einem Mountainbike fühle ich mich frei, es gibt kaum Grenzen. Man erreicht die schönsten Fleckchen der Erde und füllt die Zeit mit…+ More",$65 per person,Any experience can be canceled and fully refunded within 24 hours of purchase.,16,10,,,"https://maps.google.com/maps?ll=47.499659,12.197259&z=15&t=m&hl=en&gl=US&mapclient=apiv3",https://www.airbnb.com/experiences/953634?currentTab=experience_tab&federatedSearchId=182e143f-6970-4a9c-8731-2e4d388334fe&searchId=bd724406-0cb4-47b2-8d13-f53b2313a4e2&sectionId=d7213cb4-8d8d-4d78-b559-30ff2a404489&source=p2
PHOTO WALK,Discovery & Photo Walks in Chamonix,Chamonix,3,,Offered in English and French,Teresa,"I'm an American-born photo-journalist and professional rock-climber, living here in Chamonix for many years. During almost 15 years, I lead groups with American Express all over Europe and the US leaving me free time to ski and climb. In 2011 I developed my Discovery Walks, hosting small groups of travelers and amateur photographers throughout the Chamonix valley. I love to show people the…+ More",$70 per person,Any experience can be canceled and fully refunded within 24 hours of purchase.,12,4,4.86,57 reviews,"https://maps.google.com/maps?ll=45.92291,6.869173&z=15&t=m&hl=en&gl=US&mapclient=apiv3",https://www.airbnb.com/experiences/232066?currentTab=experience_tab&federatedSearchId=182e143f-6970-4a9c-8731-2e4d388334fe&searchId=bd724406-0cb4-47b2-8d13-f53b2313a4e2&sectionId=d7213cb4-8d8d-4d78-b559-30ff2a404489&source=p2
CULTURE WALK,OLD TOWN WALKING TOUR,Québec,1.5,"Food, Drinks and Equipment",Offered in English and French,Philippe,"I was born and raised in Quebec city! After backpacking for 2 years in Asia, Middle-East, Europe, India & Nepal, I came back to my city and realized how beautiful it is. The history of Québec is truly fascinating, and it will be my pleasure to share it with you! Aside from hosting Airbnb Experiences, I'm a medical student specializing in Public Health, and also a yoga teacher. For references, here…+ More",$32 per person,Any experience can be canceled and fully refunded within 24 hours of purchase.,8,10,4.89,38 reviews,"https://maps.google.com/maps?ll=46.814879,-71.206459&z=15&t=m&hl=en&gl=US&mapclient=apiv3",https://www.airbnb.com/experiences/824973?currentTab=experience_tab&federatedSearchId=182e143f-6970-4a9c-8731-2e4d388334fe&searchId=bd724406-0cb4-47b2-8d13-f53b2313a4e2&sectionId=d7213cb4-8d8d-4d78-b559-30ff2a404489&source=p2
